asset_uid,coingecko_id,active,cg_valid_from,cg_valid_to,binance_symbol,binance_multiplier,valid_from,valid_to,evidence
ACU,acurast,True,,,ACUUSDT,1.0,2026-01-21,,"ticker match; vs CoinGecko acurast: 240 days, median gap 0.22%"
ACX,across-protocol,True,,,ACXUSDT,1.0,2024-12-06,2026-08-06,"ticker match; vs CoinGecko across-protocol: 609 days, median gap 0.14%"
ADA,cardano,True,,,ADAUSDT,1.0,2020-01-31,,"ticker match; vs CoinGecko cardano: 728 days, median gap 0.08%"
ADCO,advertise-coin,True,,,,,,,no Binance USDT perp validated
ADI,adi-token,True,,,,,,,no Binance USDT perp validated
ADO,ado-network,False,,,,,,,no Binance USDT perp validated
ADP,adappter-token,False,,,,,,,no Binance USDT perp validated
ADS,adshares,True,,,,,,,no Binance USDT perp validated
ADX,adex,False,,,,,,,no Binance USDT perp validated
AE,aeternity,False,,,,,,,no Binance USDT perp validated
AERGO,aergo,True,,,,,,,no Binance USDT perp validated
AERO,aerodrome-finance,True,,,AEROUSDT,1.0,2024-12-04,,"ticker match; vs CoinGecko aerodrome-finance: 653 days, median gap 0.14%"
AEROBUD,aerobud,False,,,,,,,no Binance USDT perp validated
AEVO,aevo-exchange,True,,,AEVOUSDT,1.0,2024-03-13,,"ticker match; vs CoinGecko aevo-exchange: 728 days, median gap 0.13%"
AFC,arsenal-fan-token,False,,,,,,,no Binance USDT perp validated
AFR,afreum,False,,,,,,,no Binance USDT perp validated
AFSUI,aftermath-staked-sui,False,,,,,,,no Binance USDT perp validated
AGENTFUN,agentfun-ai,True,,,,,,,no Binance USDT perp validated
AGETH,kelp-gain,False,,,,,,,no Binance USDT perp validated
AGGON,ishares-core-us-aggregate-bond-etf-ondo-tokenized-etf,False,,,,,,,no Binance USDT perp validated
AGI,delysium,True,,,,,,,no Binance USDT perp validated
AGIALPHA,agi-alpha-agent,False,,,,,,,no Binance USDT perp validated
AGIX,singularitynet,True,,,,,,,no Binance USDT perp validated
AGLD,adventure-gold,True,,,AGLDUSDT,1.0,2023-07-29,,"ticker match; vs CoinGecko adventure-gold: 728 days, median gap 0.14%"
AGRS,agoras-currency-of-tau,False,,,,,,,no Binance USDT perp validated
AGVE,agave-token,False,,,,,,,no Binance USDT perp validated
AHT,ahatoken,False,,,,,,,no Binance USDT perp validated
AI,gensyn,True,,,,,,,no Binance USDT perp validated
AI16Z,ai16z,False,,,AI16ZUSDT,1.0,2025-01-02,2025-11-05,"ticker match; vs CoinGecko ai16z: 308 days, median gap 0.13%"
AI3,autonomys-network,False,,,,,,,no Binance USDT perp validated
AIA,aia,False,,,AIAUSDT,1.0,2026-01-20,,"ticker match; vs CoinGecko aia: 241 days, median gap 0.44%"
AIAT,ai-analysis-token,True,,,,,,,no Binance USDT perp validated
AIC,ai-companions,True,,,,,,,no Binance USDT perp validated
AID,gaib-aid,True,,,,,,,no Binance USDT perp validated
AIDAUSDC,gaib-ai-dollar-alpha-usdc,False,,,,,,,no Binance USDT perp validated
AIDOGE,arbdoge-ai,False,,,,,,,no Binance USDT perp validated
AIKEK,alphakek-ai,False,,,,,,,no Binance USDT perp validated
AIN,infinity-ground,True,,,AINUSDT,1.0,2025-07-10,,"ticker match; vs CoinGecko infinity-ground: 435 days, median gap 0.30%"
AINTI,aintivirus,True,,,,,,,no Binance USDT perp validated
AIO,olaxbt,True,,,AIOUSDT,1.0,2025-08-13,,"ticker match; vs CoinGecko olaxbt: 401 days, median gap 0.40%"
AIOT,okzoo,True,,,AIOTUSDT,1.0,2025-04-30,,"ticker match; vs CoinGecko okzoo: 506 days, median gap 0.35%"
AIOZ,aioz-network,True,,,,,,,no Binance USDT perp validated
AIPF,ai-powered-finance,True,,,,,,,no Binance USDT perp validated
AISM,aism-faith-token,False,,,,,,,no Binance USDT perp validated
AITECH,solidus-aitech,False,,,,,,,no Binance USDT perp validated
AITV,agentcoin-tv,False,,,,,,,no Binance USDT perp validated
AIX,planet-ix,False,,,,,,,no Binance USDT perp validated
AIXBT,aixbt,True,,,AIXBTUSDT,1.0,2024-12-20,,"ticker match; vs CoinGecko aixbt: 637 days, median gap 0.16%"
AJNA,ajna-protocol,False,,,,,,,no Binance USDT perp validated
AKE,akedo,False,,,AKEUSDT,1.0,2025-09-26,,"ticker match; vs CoinGecko akedo: 357 days, median gap 0.40%"
AKITA,akita-inu,False,,,,,,,no Binance USDT perp validated
AKT,akash-network,True,,,AKTUSDT,1.0,2024-11-18,,"ticker match; vs CoinGecko akash-network: 669 days, median gap 0.16%"
ALB,alienbase,False,,,,,,,no Binance USDT perp validated
ALCH,alchemist-ai,True,,,ALCHUSDT,1.0,2025-01-07,,"ticker match; vs CoinGecko alchemist-ai: 619 days, median gap 0.23%"
ALCX,alchemix,False,,,,,,,no Binance USDT perp validated
ALD,aladdin-dao,False,,,,,,,no Binance USDT perp validated
ALEO,aleo,True,,,,,,,no Binance USDT perp validated
ALEPH,aleph,False,,,,,,,no Binance USDT perp validated
ALGO,algorand,True,,,ALGOUSDT,1.0,2020-06-16,,"ticker match; vs CoinGecko algorand: 728 days, median gap 0.11%"
ALI,alethea-artificial-liquid-intelligence-token,False,,,,,,,no Binance USDT perp validated
ALICE,my-neighbor-alice,False,,,ALICEUSDT,1.0,2021-03-15,,"ticker match; vs CoinGecko my-neighbor-alice: 728 days, median gap 0.17%"
ALKIMI,alkimi-2,False,,,,,,,no Binance USDT perp validated
ALLINDOGE,allindoge,False,,,,,,,no Binance USDT perp validated
ALLO,allora,True,,,ALLOUSDT,1.0,2025-11-11,,"ticker match; vs CoinGecko allora: 311 days, median gap 0.11%"
ALMANAK,almanak,False,,,,,,,no Binance USDT perp validated
ALOT,dexalot,False,,,,,,,no Binance USDT perp validated
ALPH,alephium,False,,,,,,,no Binance USDT perp validated
ALPHA,alpha-fi,False,,,,,,,no Binance USDT perp validated
ALPINE,alpine-f1-team-fan-token,False,,,ALPINEUSDT,1.0,2025-05-06,,"ticker match; vs CoinGecko alpine-f1-team-fan-token: 500 days, median gap 0.14%"
ALT,altlayer,True,,,ALTUSDT,1.0,2024-01-25,,"ticker match; vs CoinGecko altlayer: 728 days, median gap 0.12%"
ALTT,altcoinist-token,False,,,,,,,no Binance USDT perp validated
ALU,altura,False,,,,,,,no Binance USDT perp validated
ALUSD,alchemix-usd,False,,,,,,,no Binance USDT perp validated
ALVA,alvara-protocol,False,,,,,,,no Binance USDT perp validated
AMAPT,amnis-aptos,False,,,,,,,no Binance USDT perp validated
AMERICA,america-party-5,True,,,,,,,no Binance USDT perp validated
AMETA,alpha-city,False,,,,,,,no Binance USDT perp validated
AMIKO,amiko,True,,,,,,,no Binance USDT perp validated
AMO,amo,False,,,,,,,no Binance USDT perp validated
AMP,amp-token,True,,,,,,,no Binance USDT perp validated
AMPL,ampleforth,False,,,,,,,no Binance USDT perp validated
AMPLUNA,eris-amplified-luna,False,,,,,,,no Binance USDT perp validated
AMZNON,amazon-ondo-tokenized-stock,False,,,,,,,no Binance USDT perp validated
AMZNX,amazon-xstock,False,,,,,,,no Binance USDT perp validated
ANA,nirvana-ana-2,True,,,,,,,no Binance USDT perp validated
ANDY,andy-the-wisguy,False,,,,,,,no Binance USDT perp validated
ANDY70B,andy70b,False,,,,,,,no Binance USDT perp validated
ANGLE,angle-protocol,False,,,,,,,no Binance USDT perp validated
ANIME,anime,True,,,ANIMEUSDT,1.0,2025-01-23,,"ticker match; vs CoinGecko anime: 603 days, median gap 0.18%"
ANKR,ankr,True,,,ANKRUSDT,1.0,2021-01-25,,"ticker match; vs CoinGecko ankr: 728 days, median gap 0.18%"
ANKRETH,ankreth,False,,,,,,,no Binance USDT perp validated
ANON,heyanon,False,,,,,,,no Binance USDT perp validated
ANT,autonomi,True,,,,,,,no Binance USDT perp validated
ANVL,anvil,True,,,,,,,no Binance USDT perp validated
ANY,anyspend,False,,,,,,,no Binance USDT perp validated
ANYONE,airtor-protocol,False,,,,,,,no Binance USDT perp validated
AO,ao-computer,True,,,,,,,no Binance USDT perp validated
AOL,america-s-official-launchpad,False,,,,,,,no Binance USDT perp validated
AOP,ark-of-panda,False,,,,,,,no Binance USDT perp validated
AP3X,apex-4,True,,,,,,,no Binance USDT perp validated
APE,apecoin,True,,,APEUSDT,1.0,2022-03-17,,"ticker match; vs CoinGecko apecoin: 728 days, median gap 0.11%"
APEPE,ape-and-pepe,True,,,,,,,no Binance USDT perp validated
APES,apes-2-2,True,,,,,,,no Binance USDT perp validated
APEX,apex-token-2,True,,,,,,,no Binance USDT perp validated
APFC,apf-coin,False,,,,,,,no Binance USDT perp validated
API3,api3,True,,,API3USDT,1.0,2022-02-21,,"ticker match; vs CoinGecko api3: 728 days, median gap 0.15%"
APL,aria-premier-launch,False,,,,,,,no Binance USDT perp validated
APR,apriori,True,,,APRUSDT,1.0,2025-10-23,,"ticker match; vs CoinGecko apriori: 330 days, median gap 0.34%"
APRA,apraemio,False,,,,,,,no Binance USDT perp validated
APT,aptos,True,,,APTUSDT,1.0,2022-10-18,,"ticker match; vs CoinGecko aptos: 728 days, median gap 0.09%"
APTM,apertum,True,,,,,,,no Binance USDT perp validated
APU,apu-s-club,False,,,,,,,no Binance USDT perp validated
APX,apollox-2,False,,,,,,,no Binance USDT perp validated
APXUSD,apxusd,True,,,,,,,no Binance USDT perp validated
APYUSD,apyusd,True,,,,,,,no Binance USDT perp validated
AQT,alpha-quark-token,False,,,,,,,no Binance USDT perp validated
AQUA,aquarius,False,,,,,,,no Binance USDT perp validated
AR,arweave,True,,,ARUSDT,1.0,2021-09-28,,"ticker match; vs CoinGecko arweave: 728 days, median gap 0.10%"
ARA,ara,False,,,,,,,no Binance USDT perp validated
ARARA,araracoin,False,,,,,,,no Binance USDT perp validated
ARB,arbitrum,True,,,ARBUSDT,1.0,2023-03-23,,"ticker match; vs CoinGecko arbitrum: 728 days, median gap 0.10%"
ARC,ai-rig-complex,True,,,ARCUSDT,1.0,2025-01-17,,"ticker match; vs CoinGecko ai-rig-complex: 609 days, median gap 0.27%"
ARDR,ardor,True,,,,,,,no Binance USDT perp validated
ARENA,the-arena,False,,,,,,,no Binance USDT perp validated
ARG,argentine-football-association-fan-token,False,,,,,,,no Binance USDT perp validated
ARIA,aria-ai,False,,,ARIAUSDT,1.0,2025-09-03,,"ticker match; vs CoinGecko aria-ai: 380 days, median gap 0.32%"
ARIA20,arianee,False,,,,,,,no Binance USDT perp validated
ARIAIP,aria-2,False,,,,,,,no Binance USDT perp validated
ARIO,ar-io-network,False,,,,,,,no Binance USDT perp validated
ARK,ark,True,,,ARKUSDT,1.0,2023-09-19,,"ticker match; vs CoinGecko ark: 728 days, median gap 0.18%"
ARKM,arkham,True,,,ARKMUSDT,1.0,2023-07-28,,"ticker match; vs CoinGecko arkham: 728 days, median gap 0.12%"
ARMY,army-3,False,,,,,,,no Binance USDT perp validated
ARPA,arpa,False,,,ARPAUSDT,1.0,2021-10-18,,"ticker match; vs CoinGecko arpa: 728 days, median gap 0.12%"
ARRR,pirate-chain,True,,,,,,,no Binance USDT perp validated
ARTDRA,artdra-coin,False,,,,,,,no Binance USDT perp validated
ARTY,artyfact,False,,,,,,,no Binance USDT perp validated
ARW,arowana,False,,,,,,,no Binance USDT perp validated
ARX,arcs,False,,,,,,,no Binance USDT perp validated
ASBNB,astherus-staked-bnb,False,,,,,,,no Binance USDT perp validated
ASD,asd,False,,,,,,,no Binance USDT perp validated
ASIA,asia-coin,False,,,,,,,no Binance USDT perp validated
ASK,permission-coin,False,,,,,,,no Binance USDT perp validated
ASKJ,askjimmy,False,,,,,,,no Binance USDT perp validated
ASM,assemble-protocol,False,,,,,,,no Binance USDT perp validated
ASONUSDC,aave-usdc-sonic,False,,,,,,,no Binance USDT perp validated
ASP,aspecta,False,,,,,,,no Binance USDT perp validated
ASR,as-roma-fan-token,False,,,ASRUSDT,1.0,2025-05-06,,"ticker match; vs CoinGecko as-roma-fan-token: 500 days, median gap 0.12%"
AST,airswap,False,,,,,,,no Binance USDT perp validated
ASTER,aster-2,True,,,ASTERUSDT,1.0,2025-09-19,,"ticker match; vs CoinGecko aster-2: 364 days, median gap 0.07%"
ASTEROID,asteroid-shiba,True,,,,,,,no Binance USDT perp validated
ASTR,astar,True,,,ASTRUSDT,1.0,2023-02-13,,"ticker match; vs CoinGecko astar: 728 days, median gap 0.15%"
ASTRA,astraai,False,,,,,,,no Binance USDT perp validated
ASUSDF,astherus-staked-usdf,False,,,,,,,no Binance USDT perp validated
AT,apro,True,,,ATUSDT,1.0,2025-10-29,,"ticker match; vs CoinGecko apro: 324 days, median gap 0.13%"
ATA,automata,False,,,ATAUSDT,1.0,2021-08-30,2026-05-18,"ticker match; vs CoinGecko automata: 606 days, median gap 0.17%"
ATETH,latch-staked-eth,False,,,,,,,no Binance USDT perp validated
ATH,aethir,True,,,ATHUSDT,1.0,2025-04-02,,"ticker match; vs CoinGecko aethir: 534 days, median gap 0.18%"
ATLAS,star-atlas,False,,,,,,,no Binance USDT perp validated
ATM,atletico-madrid,False,,,,,,,no Binance USDT perp validated
ATOM,cosmos,True,,,ATOMUSDT,1.0,2020-02-07,,"ticker match; vs CoinGecko cosmos: 728 days, median gap 0.09%"
ATONE,atomone,True,,,,,,,no Binance USDT perp validated
ATOS,atoshi,True,,,,,,,no Binance USDT perp validated
ATR,artrade,False,,,,,,,no Binance USDT perp validated
ATS,alltoscan,False,,,,,,,no Binance USDT perp validated
ATTN,attention-token,False,,,,,,,no Binance USDT perp validated
AU79,au79,False,,,,,,,no Binance USDT perp validated
AUBRAI,aubrai-by-bio,False,,,,,,,no Binance USDT perp validated
AUCTION,auction,True,,,AUCTIONUSDT,1.0,2023-12-15,,"ticker match; vs CoinGecko auction: 728 days, median gap 0.13%"
AUDD,novatti-australian-digital-dollar,False,,,,,,,no Binance USDT perp validated
AUDIO,audius,True,,,,,,,no Binance USDT perp validated
AUDM,macropod,False,,,,,,,no Binance USDT perp validated
AUKI,auki-labs,True,,,,,,,no Binance USDT perp validated
AURA,aura-on-sol,False,,,,,,,no Binance USDT perp validated
AURABAL,aura-bal,False,,,,,,,no Binance USDT perp validated
AURORA,aurora-near,True,,,,,,,no Binance USDT perp validated
AURY,aurory,False,,,,,,,no Binance USDT perp validated
AUSD,agora-dollar,True,,,,,,,no Binance USDT perp validated
AUSDT,alloy-tether,True,,,,,,,no Binance USDT perp validated
AUX,austin-capitals,False,,,,,,,no Binance USDT perp validated
AVA,concierge-io,True,,,AVAUSDT,1.0,2024-12-13,,"ticker match; vs CoinGecko concierge-io: 644 days, median gap 0.12%"
AVAIL,avail,False,,,,,,,no Binance USDT perp validated
AVAX,avalanche-2,True,,,AVAXUSDT,1.0,2020-09-23,,"ticker match; vs CoinGecko avalanche-2: 728 days, median gap 0.08%"
AVICI,avici,False,,,,,,,no Binance USDT perp validated
AVL,avalon-2,False,,,,,,,no Binance USDT perp validated
AVLT,altura-2,True,,,,,,,no Binance USDT perp validated
AVNT,avantis,True,,,AVNTUSDT,1.0,2025-09-09,,"ticker match; vs CoinGecko avantis: 374 days, median gap 0.17%"
AVO,avo,False,,,,,,,no Binance USDT perp validated
AVT,aventus,False,,,,,,,no Binance USDT perp validated
AVUSD,avant-usd,True,,,,,,,no Binance USDT perp validated
AWE,stp-network,True,,,AWEUSDT,1.0,2025-05-21,,"ticker match; vs CoinGecko stp-network: 485 days, median gap 0.18%"
AXCNH,axcnh,False,,,,,,,no Binance USDT perp validated
AXEL,axel,False,,,,,,,no Binance USDT perp validated
AXGT,axondao-governance-token,False,,,,,,,no Binance USDT perp validated
AXL,axelar,True,,,AXLUSDT,1.0,2024-03-01,,"ticker match; vs CoinGecko axelar: 728 days, median gap 0.15%"
AXS,axie-infinity,True,,,AXSUSDT,1.0,2020-11-20,,"ticker match; vs CoinGecko axie-infinity: 728 days, median gap 0.12%"
AZEN,azen,False,,,,,,,no Binance USDT perp validated
AZERO,aleph-zero,False,,,,,,,no Binance USDT perp validated
AZIT,azit,False,,,,,,,no Binance USDT perp validated
AZTEC,aztec,True,,,AZTECUSDT,1.0,2026-02-11,,"ticker match; vs CoinGecko aztec: 219 days, median gap 0.17%"
B,build-on,True,,,BUSDT,1.0,2025-05-22,,"ticker match; vs CoinGecko build-on: 484 days, median gap 0.29%"
B2,bsquared-network,True,,,B2USDT,1.0,2025-05-06,,"ticker match; vs CoinGecko bsquared-network: 500 days, median gap 0.33%"
B2M,bit2me,True,,,,,,,no Binance USDT perp validated
B3,b3,True,,,B3USDT,1.0,2025-02-13,2026-04-27,"ticker match; vs CoinGecko b3: 439 days, median gap 0.19%"
B3TR,vebetterdao,False,,,,,,,no Binance USDT perp validated
B4FWX,be-for-fwx,False,,,,,,,no Binance USDT perp validated
BABY,babylon,True,,,BABYUSDT,1.0,2025-04-05,,"ticker match; vs CoinGecko babylon: 527 days, median gap 0.15%"
BABYDOGE,baby-doge-coin,True,,,1MBABYDOGEUSDT,1000000.0,2024-09-16,,"ticker match; vs CoinGecko baby-doge-coin: 728 days, median gap 0.12%"
BABYSHIBAINU,baby-shiba-inu,False,,,,,,,no Binance USDT perp validated
BADGER,badger-dao,False,,,BADGERUSDT,1.0,2023-11-09,2025-04-13,"ticker match; vs CoinGecko badger-dao: 206 days, median gap 0.11%"
BAKE,bakerytoken,False,,,BAKEUSDT,1.0,2021-05-18,2025-10-02,"ticker match; vs CoinGecko bakerytoken: 378 days, median gap 0.12%"
BAL,balancer,False,,,BALUSDT,1.0,2020-09-01,2025-04-13,"ticker match; vs CoinGecko balancer: 206 days, median gap 0.13%"
BAN,comedian,True,,,BANUSDT,1.0,2024-11-18,,"ticker match; vs CoinGecko comedian: 669 days, median gap 0.26%"
BANANA,banana-gun,False,,,BANANAUSDT,1.0,2024-08-15,,"ticker match; vs CoinGecko banana-gun: 728 days, median gap 0.13%"
BANANAS31,banana-for-scale-2,True,,,BANANAS31USDT,1.0,2025-03-22,,"ticker match; vs CoinGecko banana-for-scale-2: 545 days, median gap 0.11%"
BAND,band-protocol,True,,,BANDUSDT,1.0,2020-07-29,,"ticker match; vs CoinGecko band-protocol: 728 days, median gap 0.13%"
BANK,lorenzo-protocol,False,,,BANKUSDT,1.0,2025-04-18,,"ticker match; vs CoinGecko lorenzo-protocol: 518 days, median gap 0.22%"
BAR,fc-barcelona-fan-token,False,,,,,,,no Binance USDT perp validated
BARD,lombard-protocol,True,,,BARDUSDT,1.0,2025-09-18,,"ticker match; vs CoinGecko lombard-protocol: 365 days, median gap 0.16%"
BAS,bas,True,,,BASUSDT,1.0,2025-08-26,,"ticker match; vs CoinGecko bas: 388 days, median gap 0.36%"
BASED,based-one,True,,,BASEDUSDT,1.0,2026-03-30,,"ticker match; vs CoinGecko based-one: 172 days, median gap 0.14%"
BASEDAI,basedai,False,,,,,,,no Binance USDT perp validated
BASEDHYPE,basedhype,True,,,,,,,no Binance USDT perp validated
BAT,basic-attention-token,True,,,BATUSDT,1.0,2020-02-13,,"ticker match; vs CoinGecko basic-attention-token: 728 days, median gap 0.14%"
BAY,marina-protocol,False,,,,,,,no Binance USDT perp validated
BB,bouncebit,False,,,BBUSDT,1.0,2024-05-13,,"ticker match; vs CoinGecko bouncebit: 728 days, median gap 0.13%"
BBB,beny-bad-boy,False,,,,,,,no Binance USDT perp validated
BBSOL,bybit-staked-sol,False,,,,,,,no Binance USDT perp validated
BBT,babyboomtoken,True,,,,,,,no Binance USDT perp validated
BBTC,binance-wrapped-btc,False,,,,,,,no Binance USDT perp validated
BBUSD,bouncebit-usd-2,False,,,,,,,no Binance USDT perp validated
BC,bc-token,True,,,,,,,no Binance USDT perp validated
BCAP,blockchain-capital,True,,,,,,,no Binance USDT perp validated
BCD,bitcoin-diamond,False,,,,,,,no Binance USDT perp validated
BCE,bitcastle-token,True,,,,,,,no Binance USDT perp validated
BCH,bitcoin-cash,True,,,BCHUSDT,1.0,2019-12-19,,"ticker match; vs CoinGecko bitcoin-cash: 728 days, median gap 0.08%"
BCHEM,bitchemical-token,False,,,,,,,no Binance USDT perp validated
BCN,bytecoin,False,,,,,,,no Binance USDT perp validated
BCSPX,backed-cspx-core-s-p-500,True,,,,,,,no Binance USDT perp validated
BCT,toucan-protocol-base-carbon-tonne,False,,,,,,,no Binance USDT perp validated
BCUT,bitscrunch-token,False,,,,,,,no Binance USDT perp validated
BDC,billion-dollar-cat-runes,False,,,,,,,no Binance USDT perp validated
BDCA,bitdca,True,,,,,,,no Binance USDT perp validated
BDX,beldex,True,,,,,,,no Binance USDT perp validated
BDXN,bondex,False,,,,,,,no Binance USDT perp validated
BEAM,beam-2,True,,,,,,,no Binance USDT perp validated
BEAR,teddy-bear,False,,,,,,,no Binance USDT perp validated
BEAT,audiera,True,,,BEATUSDT,1.0,2025-11-12,,"ticker match; vs CoinGecko audiera: 310 days, median gap 0.26%"
BEL,bella-protocol,False,,,BELUSDT,1.0,2020-11-18,,"ticker match; vs CoinGecko bella-protocol: 728 days, median gap 0.11%"
BELIEVE,ben-pasternak,False,,,,,,,no Binance USDT perp validated
BELLS,bellscoin,False,,,,,,,no Binance USDT perp validated
BENJI,basenji,False,,,,,,,no Binance USDT perp validated
BERA,berachain-bera,True,,,BERAUSDT,1.0,2025-02-06,,"ticker match; vs CoinGecko berachain-bera: 589 days, median gap 0.16%"
BERASTONE,stakestone-berachain-vault-token,False,,,,,,,no Binance USDT perp validated
BERT,bertram-the-pomeranian,False,,,,,,,no Binance USDT perp validated
BEST,best,False,,,,,,,no Binance USDT perp validated
BETA,beta-finance,False,,,,,,,no Binance USDT perp validated
BFC,bifrost,True,,,,,,,no Binance USDT perp validated
BFG,bfg-token,False,,,,,,,no Binance USDT perp validated
BFUSD,bfusd,True,,,,,,,no Binance USDT perp validated
BGB,bitget-token,True,,,,,,,no Binance USDT perp validated
BGBTC,bitget-wrapped-btc,True,,,,,,,no Binance USDT perp validated
BGSC,bugscoin,True,,,,,,,no Binance USDT perp validated
BGSOL,bitget-staked-sol,False,,,,,,,no Binance USDT perp validated
BIB01,backed-ib01-treasury-bond-0-1yr,True,,,,,,,no Binance USDT perp validated
BIC,beincom,False,,,,,,,no Binance USDT perp validated
BICO,biconomy,True,,,BICOUSDT,1.0,2023-09-28,,"ticker match; vs CoinGecko biconomy: 728 days, median gap 0.13%"
BID,creatorbid,False,,,BIDUSDT,1.0,2025-03-20,2026-01-20,"ticker match; vs CoinGecko creatorbid: 307 days, median gap 0.31%"
BIDZ,bidz-coin,False,,,,,,,no Binance USDT perp validated
BIFI,beefy-finance,False,,,,,,,no Binance USDT perp validated
BIG,bigcoin-2,False,,,,,,,no Binance USDT perp validated
BIGTIME,big-time,True,,,BIGTIMEUSDT,1.0,2023-10-12,,"ticker match; vs CoinGecko big-time: 728 days, median gap 0.14%"
BILL,billions-network,True,,,BILLUSDT,1.0,2026-05-07,,"ticker match; vs CoinGecko billions-network: 134 days, median gap 0.15%"
BIM,bim-2,True,,,,,,,no Binance USDT perp validated
BIO,bio-protocol,True,,,BIOUSDT,1.0,2025-01-03,,"ticker match; vs CoinGecko bio-protocol: 623 days, median gap 0.13%"
BIRB,moonbirds,True,,,BIRBUSDT,1.0,2026-01-29,,"ticker match; vs CoinGecko moonbirds: 232 days, median gap 0.15%"
BIT,biconomy-exchange-token,False,,,,,,,no Binance USDT perp validated
BITCOIN,harrypotterobamasonic10in,True,,,,,,,no Binance USDT perp validated
BKN,brickken,False,,,,,,,no Binance USDT perp validated
BKS,backstage,False,,,,,,,no Binance USDT perp validated
