rebalance_date,snapshot_date,symbol,weight,marketcap
2024-05-01,2024-05-01,FIL,0.021635214521065062,3076888470.7776523
2024-05-01,2024-05-01,ARB,0.020355512915636136,2723663452.647699
2024-05-01,2024-05-01,OP,0.02012517577010748,2662371816.3378468
2024-05-01,2024-05-01,GRT,0.018492898921076223,2248015673.0320463
2024-05-01,2024-05-01,THETA,0.017545444376504224,2023569324.541759
2024-05-01,2024-05-01,ALGO,0.014880619080023274,1455564121.9575284
2024-05-01,2024-05-01,QNT,0.014851702105925997,1449912527.3168566
2024-05-01,2024-05-01,FLOW,0.013879066885987404,1266222074.4260798
2024-05-01,2024-05-01,AAVE,0.013722431229627486,1237802823.3441393
2024-05-01,2024-05-01,EGLD,0.012544650043438335,1034442710.8372424
2024-05-01,2024-05-01,AXS,0.012167249941625146,973137485.429356
2024-05-01,2024-05-01,CHZ,0.012082460678266738,959621840.7588289
2024-05-01,2024-05-01,SAND,0.01200209855927393,946899136.6895249
2024-06-01,2024-06-01,ETH,0.1,452758719430.44403
2024-06-01,2024-06-01,BNB,0.10991818786377772,91484499156.37355
2024-06-01,2024-06-01,SOL,0.10038800050542468,76308339528.46367
2024-06-01,2024-06-01,XRP,0.061632404066545465,28762498683.161274
2024-06-01,2024-06-01,DOGE,0.05515823497503942,23037169421.483704
2024-06-01,2024-06-01,ADA,0.04575589225506285,15852671211.468348
2024-06-01,2024-06-01,AVAX,0.04332997730014165,14216258704.019821
2024-06-01,2024-06-01,LINK,0.037811767551698856,10825858687.009129
2024-06-01,2024-06-01,TRX,0.03599656585066695,9811389912.52977
2024-06-01,2024-06-01,DOT,0.03558439549668538,9587990167.547712
2024-06-01,2024-06-01,UNI,0.031569261853667936,7546355316.0894375
2024-06-01,2024-06-01,LTC,0.028649350364208702,6214954482.060038
2024-06-01,2024-06-01,ICP,0.0269912125929208,5516367444.723034
2024-06-01,2024-06-01,ETC,0.024028457354642426,4371798878.682613
2024-06-01,2024-06-01,APT,0.022978555457927853,3998101743.08581
2024-06-01,2024-06-01,ATOM,0.02073307248518334,3254885586.0660563
2024-06-01,2024-06-01,ARB,0.020722811506984913,3251664640.834368
2024-06-01,2024-06-01,FIL,0.020579611929265076,3206880353.544429
2024-06-01,2024-06-01,XLM,0.02020419793039324,3090947466.4047894
2024-06-01,2024-06-01,GRT,0.019350971537518948,2835397442.702325
2024-06-01,2024-06-01,OP,0.018806042228973467,2677954593.5138
2024-06-01,2024-06-01,THETA,0.016815586278822472,2141077671.398393
2024-06-01,2024-06-01,ALGO,0.01427083615851471,1542081173.8540366
2024-06-01,2024-06-01,AAVE,0.014267508522455919,1541362100.8313167
2024-06-01,2024-06-01,FLOW,0.013222346820692355,1323809471.325636
2024-06-01,2024-06-01,QNT,0.013200829514526655,1319504390.4211867
2024-06-01,2024-06-01,CHZ,0.012904586420126834,1260946253.923196
2024-06-01,2024-06-01,AXS,0.011946591682880647,1080678312.1459198
2024-06-01,2024-06-01,EGLD,0.011791987699301945,1052888615.8662865
2024-06-01,2024-06-01,SAND,0.011390755795949014,982456832.8325909
2024-07-01,2024-07-01,ETH,0.10000000000000003,412683392973.9106
2024-07-01,2024-07-01,BNB,0.10000000000000003,89479656642.3047
2024-07-01,2024-07-01,SOL,0.10415864382124398,67675125124.59939
2024-07-01,2024-07-01,XRP,0.06514871924078636,26475867493.393265
2024-07-01,2024-07-01,DOGE,0.053741709630008905,18016125163.591396
2024-07-01,2024-07-01,ADA,0.04718585911257858,13888718240.596895
2024-07-01,2024-07-01,AVAX,0.043043906557759894,11557443900.4239
2024-07-01,2024-07-01,TRX,0.04173368751826478,10864555281.669912
2024-07-01,2024-07-01,LINK,0.03720756433934649,8635767016.167921
2024-07-01,2024-07-01,DOT,0.0370733368435857,8573571785.054799
2024-07-01,2024-07-01,UNI,0.033431239784505414,6971775587.154927
2024-07-01,2024-07-01,LTC,0.03000724840224141,5616823551.30602
2024-07-01,2024-07-01,ICP,0.024671713921951915,3796969209.5879116
2024-07-01,2024-07-01,ETC,0.023658120087794113,3491394295.9137506
2024-07-01,2024-07-01,APT,0.022644970343497686,3198762136.7827973
2024-07-01,2024-07-01,XLM,0.020630876447413782,2655056642.002502
2024-07-01,2024-07-01,ATOM,0.020503863768651525,2622465898.4677534
2024-07-01,2024-07-01,ARB,0.020360861091116247,2586013074.1524777
2024-07-01,2024-07-01,FIL,0.020140890446304325,2530438394.6030254
2024-07-01,2024-07-01,OP,0.017980270486795024,2016651602.1333506
2024-07-01,2024-07-01,GRT,0.017935593593723344,2006642209.6884038
2024-07-01,2024-07-01,THETA,0.01580497649723738,1558210558.830481
2024-07-01,2024-07-01,AAVE,0.015182232179521754,1437837120.8746953
2024-07-01,2024-07-01,EOS,0.013803701481856761,1188583101.8433473
2024-07-01,2024-07-01,ALGO,0.013728683469191776,1175699187.6964076
2024-07-01,2024-07-01,QNT,0.013377166965601208,1116263513.7383766
2024-07-01,2024-07-01,FLOW,0.012365248582010373,953771052.5830032
2024-07-01,2024-07-01,AXS,0.011934776592933337,888519619.4275199
2024-07-01,2024-07-01,EGLD,0.011350438279312721,803643982.3847526
2024-07-01,2024-07-01,XTZ,0.011193700514765311,781602249.6477293
2024-08-01,2024-08-01,ETH,0.09999999999999998,388633791826.8701
2024-08-01,2024-08-01,BNB,0.11418953954901855,84116308113.30072
2024-08-01,2024-08-01,SOL,0.1113261329098145,79950614578.09938
2024-08-01,2024-08-01,XRP,0.07357600452810477,34922068515.62188
2024-08-01,2024-08-01,DOGE,0.05244506137227235,17743396420.306427
2024-08-01,2024-08-01,ADA,0.046299139759216415,13828446805.427467
2024-08-01,2024-08-01,TRX,0.041676842346444254,11205137080.402168
2024-08-01,2024-08-01,AVAX,0.03967905455057103,10156643072.832344
2024-08-01,2024-08-01,LINK,0.03476721581697341,7797715512.793392
2024-08-01,2024-08-01,DOT,0.034099032216814276,7500870474.458805
2024-08-01,2024-08-01,UNI,0.029027430519349903,5435565682.507975
2024-08-01,2024-08-01,LTC,0.028520296847104058,5247296956.171549
2024-08-01,2024-08-01,ICP,0.02547763366712711,4187412423.49797
2024-08-01,2024-08-01,ETC,0.02236243129996707,3226009176.408626
2024-08-01,2024-08-01,APT,0.021610264790993126,3012643456.201459
2024-08-01,2024-08-01,XLM,0.021395616928456162,2953093426.295107
2024-08-01,2024-08-01,FIL,0.01935793023941097,2417382648.8182344
2024-08-01,2024-08-01,ATOM,0.018757891356338156,2269841813.0802264
2024-08-01,2024-08-01,ARB,0.01845271723126778,2196586008.801541
2024-08-01,2024-08-01,OP,0.017060962246980768,1877736306.5910945
2024-08-01,2024-08-01,GRT,0.016316228638731636,1717382861.3814192
2024-08-01,2024-08-01,AAVE,0.015762530440202843,1602800378.14551
2024-08-01,2024-08-01,THETA,0.014541333626137224,1364068051.022293
2024-08-01,2024-08-01,ALGO,0.013155754306737594,1116500875.3639264
2024-08-01,2024-08-01,FLOW,0.012594023599676263,1023190655.5504199
2024-08-01,2024-08-01,QNT,0.012445006658835004,999120399.6087121
2024-08-01,2024-08-01,EOS,0.011663339169780093,877553029.50367
2024-08-01,2024-08-01,EGLD,0.011439994125699059,844265733.0966709
2024-08-01,2024-08-01,AXS,0.011396946564573905,837923911.2895466
2024-08-01,2024-08-01,XTZ,0.010603644693401684,725333763.0825348
2024-09-01,2024-09-01,ETH,0.09999999999999998,302383496015.1365
2024-09-01,2024-09-01,BNB,0.09999999999999998,77715922914.05212
2024-09-01,2024-09-01,SOL,0.1070837162966748,63101327572.9293
2024-09-01,2024-09-01,XRP,0.0760586750460858,31833847986.957657
2024-09-01,2024-09-01,DOGE,0.051802031514035576,14766759789.534246
2024-09-01,2024-09-01,TRX,0.04986192983830079,13681376463.33476
2024-09-01,2024-09-01,ADA,0.04728012585876081,12301239516.339321
2024-09-01,2024-09-01,AVAX,0.040935841758096385,9221447054.802673
2024-09-01,2024-09-01,LINK,0.03490616318169413,6704954823.557084
2024-09-01,2024-09-01,DOT,0.03298657260655901,5987782460.952641
2024-09-01,2024-09-01,LTC,0.029760611026585747,4873885407.484236
2024-09-01,2024-09-01,UNI,0.028530136217059847,4479188270.064169
2024-09-01,2024-09-01,ICP,0.025387105530786637,3546647313.584041
2024-09-01,2024-09-01,APT,0.023921884872780557,3149070754.7926006
2024-09-01,2024-09-01,ETC,0.02228310460658518,2732392124.2781253
2024-09-01,2024-09-01,XLM,0.022279814886943708,2731585401.8149447
2024-09-01,2024-09-01,FIL,0.01942078689540827,2075512112.8388853
2024-09-01,2024-09-01,AAVE,0.018761057014460736,1936895692.432749
2024-09-01,2024-09-01,ARB,0.018053058699334008,1793466278.4505913
2024-09-01,2024-09-01,ATOM,0.01797691843009849,1778369995.703489
2024-09-01,2024-09-01,OP,0.017494701928468418,1684242886.1820748
2024-09-01,2024-09-01,GRT,0.01591227390534733,1393336835.1775534
2024-09-01,2024-09-01,THETA,0.014767219206607504,1200021618.800993
2024-09-01,2024-09-01,ALGO,0.013578700571618273,1014630819.8935617
2024-09-01,2024-09-01,QNT,0.01285517846249419,909385126.9920471
2024-09-01,2024-09-01,FLOW,0.01240303039320645,846539529.795982
2024-09-01,2024-09-01,EGLD,0.011972179739042955,788747659.2106102
2024-09-01,2024-09-01,EOS,0.011496829831818753,727357352.6161815
2024-09-01,2024-09-01,AXS,0.011296059904255543,702175383.9839212
2024-09-01,2024-09-01,XTZ,0.010934291776890172,657919781.0573891
2024-10-01,2024-10-01,ETH,0.09999999999999998,312577514239.3695
2024-10-01,2024-10-01,BNB,0.09999999999999998,82687696155.70758
2024-10-01,2024-10-01,SOL,0.1078672161836307,71395922727.94426
2024-10-01,2024-10-01,XRP,0.07518782973745021,34688823292.79782
2024-10-01,2024-10-01,DOGE,0.052119374167236325,16668359315.555267
2024-10-01,2024-10-01,TRX,0.046937103118379314,13518454191.751871
2024-10-01,2024-10-01,ADA,0.046549408312877606,13296054897.130487
2024-10-01,2024-10-01,AVAX,0.042793702788049,11237098859.047478
2024-10-01,2024-10-01,LINK,0.034758886971864494,7413549505.945434
2024-10-01,2024-10-01,DOT,0.032012643576274126,6288362193.926936
2024-10-01,2024-10-01,UNI,0.030114895699239964,5564897842.338998
2024-10-01,2024-10-01,LTC,0.02856589271193651,5007143879.044918
2024-10-01,2024-10-01,ICP,0.026288545202344367,4240602603.35846
2024-10-01,2024-10-01,APT,0.025043863951847056,3848550070.284665
2024-10-01,2024-10-01,XLM,0.021832761019674202,2924905179.2834353
2024-10-01,2024-10-01,ETC,0.021727059116413712,2896652258.320914
2024-10-01,2024-10-01,AAVE,0.01952526912893286,2339314037.7306094
2024-10-01,2024-10-01,FIL,0.01912557300520616,2244519488.2695584
2024-10-01,2024-10-01,OP,0.018916454481585795,2195704787.821059
2024-10-01,2024-10-01,ARB,0.01885547774522869,2181571999.72657
